g4753.t1	0d52b37c5adf17c44b4583d5fc8f63f5	359	Pfam	PF04116	Fatty acid hydroxylase	211	341	1.9E-17	T	18-11-2024	IPR006694	Fatty acid hydroxylase
g3081.t1	df8d451c0db500235ed03ff8a0e72540	273	Pfam	PF01169	Uncharacterized protein family UPF0016	191	264	4.7E-22	T	18-11-2024	IPR001727	Gdt1 family
g3081.t1	df8d451c0db500235ed03ff8a0e72540	273	Pfam	PF01169	Uncharacterized protein family UPF0016	67	140	7.4E-19	T	18-11-2024	IPR001727	Gdt1 family
g3252.t1	efd96cea0fa20db92b2b05f91506c25d	458	Pfam	PF00365	Phosphofructokinase	106	404	4.1E-60	T	18-11-2024	IPR000023	Phosphofructokinase domain
g7199.t2	9fc85cb37976054eba306e415c6c43c5	492	Pfam	PF08375	Proteasome regulatory subunit C-terminal	426	490	3.8E-23	T	18-11-2024	IPR013586	26S proteasome regulatory subunit, C-terminal
g7199.t2	9fc85cb37976054eba306e415c6c43c5	492	Pfam	PF01399	PCI domain	320	421	2.5E-18	T	18-11-2024	IPR000717	Proteasome component (PCI) domain
g4760.t1	c746374d3a047951372a49844a187e92	244	Pfam	PF02525	Flavodoxin-like fold	1	190	6.7E-49	T	18-11-2024	IPR003680	Flavodoxin-like fold
g7648.t1	351d4630e9beeb7b2ec4106d7b952872	1627	Pfam	PF00632	HECT-domain (ubiquitin-transferase)	1280	1627	3.4E-75	T	18-11-2024	IPR000569	HECT domain
g7648.t1	351d4630e9beeb7b2ec4106d7b952872	1627	Pfam	PF00514	Armadillo/beta-catenin-like repeat	55	91	8.1E-5	T	18-11-2024	IPR000225	Armadillo
g1987.t1	e759cccd4164e89236b4ee35cac305f7	280	Pfam	PF12874	Zinc-finger of C2H2 type	56	80	2.0E-6	T	18-11-2024	-	-
g1987.t1	e759cccd4164e89236b4ee35cac305f7	280	Pfam	PF16835	Pre-mRNA-splicing factor SF3a complex subunit 2 (Prp11)	113	206	2.8E-35	T	18-11-2024	IPR031781	SF3A2 domain
g9665.t1	20e7858ab4d22835eac65dc55a9d4c1d	274	Pfam	PF02362	B3 DNA binding domain	55	148	1.4E-11	T	18-11-2024	IPR003340	B3 DNA binding domain
g8406.t1	1c7ff1aa8289be1a0d0e9f6ce1a05447	328	Pfam	PF02089	Palmitoyl protein thioesterase	42	302	2.8E-87	T	18-11-2024	-	-
g4924.t1	be067507330ef273c50d8fe8e33b71fc	394	Pfam	PF03006	Haemolysin-III related	66	376	7.7E-63	T	18-11-2024	IPR004254	AdipoR/Haemolysin-III-related
g108.t1	cfb82b6a079094b1b3084cfc7e6f4cca	137	Pfam	PF11221	Subunit 21 of Mediator complex	4	126	1.4E-15	T	18-11-2024	IPR021384	Mediator complex, subunit Med21
g1628.t1	2c5f451f69c0bd9e8eb7b7197685f111	316	Pfam	PF00400	WD domain, G-beta repeat	185	219	0.0072	T	18-11-2024	IPR001680	WD40 repeat
g1628.t1	2c5f451f69c0bd9e8eb7b7197685f111	316	Pfam	PF00400	WD domain, G-beta repeat	226	263	0.0014	T	18-11-2024	IPR001680	WD40 repeat
g1628.t1	2c5f451f69c0bd9e8eb7b7197685f111	316	Pfam	PF00400	WD domain, G-beta repeat	95	133	8.0E-6	T	18-11-2024	IPR001680	WD40 repeat
g1628.t1	2c5f451f69c0bd9e8eb7b7197685f111	316	Pfam	PF00400	WD domain, G-beta repeat	140	176	0.028	T	18-11-2024	IPR001680	WD40 repeat
g1628.t1	2c5f451f69c0bd9e8eb7b7197685f111	316	Pfam	PF00400	WD domain, G-beta repeat	59	87	0.0032	T	18-11-2024	IPR001680	WD40 repeat
g2972.t1	44da85ee19e71415883a1ecab34fa457	839	Pfam	PF07690	Major Facilitator Superfamily	206	359	1.4E-27	T	18-11-2024	IPR011701	Major facilitator superfamily
g5673.t1	d7140502ecefeeddf4efe98e7e8555e4	796	Pfam	PF00481	Protein phosphatase 2C	105	338	3.1E-21	T	18-11-2024	IPR001932	PPM-type phosphatase-like domain
g5813.t1	579dfed2704f032e9065b547a1e128ef	1195	Pfam	PF02373	JmjC domain, hydroxylase	1049	1131	7.8E-13	T	18-11-2024	IPR003347	JmjC domain
g7440.t1	bb0a6a613c9a70218851fa3e07500741	1532	Pfam	PF03399	SAC3/GANP family	370	666	5.3E-74	T	18-11-2024	IPR005062	SAC3/GANP/THP3, conserved domain
g7073.t1	8a1125515248016aa698ed4dcf70680e	449	Pfam	PF07975	TFIIH C1-like domain	373	425	9.9E-17	T	18-11-2024	IPR004595	TFIIH C1-like domain
g7073.t1	8a1125515248016aa698ed4dcf70680e	449	Pfam	PF04056	Ssl1-like	88	277	8.3E-70	T	18-11-2024	IPR007198	Ssl1-like
g7971.t1	df9934f08d7475f2b47d09869b1cf536	255	Pfam	PF00230	Major intrinsic protein	45	224	3.7E-37	T	18-11-2024	IPR000425	Major intrinsic protein
g3875.t1	8816f884c94a4542809795b6d280a281	509	Pfam	PF00085	Thioredoxin	51	164	1.3E-17	T	18-11-2024	IPR013766	Thioredoxin domain
g3875.t1	8816f884c94a4542809795b6d280a281	509	Pfam	PF04777	Erv1 / Alr family	309	406	6.8E-23	T	18-11-2024	IPR017905	ERV/ALR sulfhydryl oxidase domain
